All event log messages.
Date:	2018-03-18 10:55:39
System Name:	C11_R11_R12_05-101065
Controller Name:	192.168.0.11
Controller Id	05-101065

RobotWare: 6.03.02.00
Key:	
Options:	
	RobotWare Base
	687-1 Advanced Robot Motion
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP and NFS client
	610-1 Independent Axis
	623-1 Multitasking
	604-1 MultiMove Coordinated
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	888-2 PROFINET Controller/Device
	688-1 RobotStudio App Connect
	885-1 SoftMove
	603-1 Absolute Accuracy
	English
	608-1 World Zones
	976-1 T10 Jogging Device
	812-1 Production Manager

Robot1
Key:	
Options:	
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3
	ADU-790A in position Y3
	ADU-790A in position Z3

Robot2
Key:	
Options:	
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position Z3
	ADU-790A in position X3
	ADU-790A in position Y3

SAC
	Key:	
Options:	
	Standalone Controller
		XYZ with no TCP
			Standalone Controller
				XYZ with no TCP

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
534415    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:50:17 	The task SENDER has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "SENDER"}
534416    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:50:17 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "5", "RECEIVER"}
534417    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:50:17 	The task T_ROB11 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB11"}
534418    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:50:17 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
534419    	I   	Operational         	10010   	Motors OFF state                        	2018-03-18 09:50:18 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
534420    	E   	System              	20072   	Not allowed command                     	2018-03-18 09:55:22 	The command is not allowed in Motors OFF state.	{args: "66"}
534421    	I   	Operational         	10011   	Motors ON state                         	2018-03-18 09:55:27 	The system is in the Motors ON state.	{args: }
534422    	W   	Operational         	10095   	At least one task is unchecked in the task selection panel	2018-03-18 09:55:28 	One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start.	{args: }
534423    	I   	Operational         	10052   	Regain start                            	2018-03-18 09:55:28 	A regain movement has started.	{args: "0"}
534424    	I   	Operational         	10053   	Regain ready                            	2018-03-18 09:55:29 	The regain movement is ready.	{args: "0"}
534425    	I   	Operational         	10156   	Program restarted                       	2018-03-18 09:55:29 	Execution of task T_ROB11 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB11"}
534426    	I   	Operational         	10156   	Program restarted                       	2018-03-18 09:55:29 	Execution of task T_ROB12 has been restarted from where it was previously stopped. The originator is an external client.	{args: "2", "T_ROB12"}
534427    	I   	Operational         	10156   	Program restarted                       	2018-03-18 09:55:29 	Execution of task T_MASTER has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "T_MASTER"}
534428    	I   	Operational         	10156   	Program restarted                       	2018-03-18 09:55:29 	Execution of task SENDER has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "SENDER"}
534429    	I   	Operational         	10156   	Program restarted                       	2018-03-18 09:55:29 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator is an external client.	{args: "5", "RECEIVER"}
534430    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:55:34 	The task T_MASTER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "T_MASTER"}
534431    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:55:34 	The task SENDER has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "SENDER"}
534432    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:55:34 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "5", "RECEIVER"}
534433    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:55:34 	The task T_ROB11 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB11"}
534434    	I   	Operational         	10125   	Program stopped                         	2018-03-18 09:55:34 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
534435    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534436    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534437    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534438    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534439    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534440    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534441    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 09:55:38 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534442    	I   	Operational         	10012   	Safety guard stop state                 	2018-03-18 09:55:44 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
534443    	E   	System              	20205   	Auto Stop open                          	2018-03-18 09:55:44 	The Automatic Mode Safeguarded Stop circuit has been broken.	{args: }
534444    	I   	Operational         	10152   	Program started                         	2018-03-18 10:01:53 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
534445    	I   	Operational         	10152   	Program started                         	2018-03-18 10:01:53 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "5", "RECEIVER"}
534446    	I   	Operational         	10133   	Program stopped                         	2018-03-18 10:01:53 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
534447    	I   	Operational         	10133   	Program stopped                         	2018-03-18 10:01:53 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "5", "RECEIVER"}
534448    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:53 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534449    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:54 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534450    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:54 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534451    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:54 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534452    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:54 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534453    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:54 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534454    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:01:54 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534455    	E   	System              	20074   	Not allowed command                     	2018-03-18 10:01:55 	The command is not allowed in Guard Stop state.	{args: "66"}
534456    	I   	Operational         	10152   	Program started                         	2018-03-18 10:02:05 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
534457    	I   	Operational         	10152   	Program started                         	2018-03-18 10:02:05 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "5", "RECEIVER"}
534458    	I   	Operational         	10133   	Program stopped                         	2018-03-18 10:02:05 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
534459    	I   	Operational         	10133   	Program stopped                         	2018-03-18 10:02:05 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "5", "RECEIVER"}
534460    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534461    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534462    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534463    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534464    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534465    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534466    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:02:05 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534467    	I   	Operational         	10010   	Motors OFF state                        	2018-03-18 10:02:20 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
534468    	I   	Operational         	10011   	Motors ON state                         	2018-03-18 10:02:28 	The system is in the Motors ON state.	{args: }
534469    	W   	Operational         	10095   	At least one task is unchecked in the task selection panel	2018-03-18 10:02:36 	One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start.	{args: }
534470    	I   	Operational         	10052   	Regain start                            	2018-03-18 10:02:36 	A regain movement has started.	{args: "0"}
534471    	I   	Operational         	10053   	Regain ready                            	2018-03-18 10:02:36 	The regain movement is ready.	{args: "0"}
534472    	I   	Operational         	10151   	Program started                         	2018-03-18 10:02:36 	Execution of task T_ROB11 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB11"}
534473    	I   	Operational         	10151   	Program started                         	2018-03-18 10:02:36 	Execution of task T_ROB12 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB12"}
534474    	I   	Operational         	10151   	Program started                         	2018-03-18 10:02:36 	Execution of task T_MASTER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "T_MASTER"}
534475    	I   	Operational         	10151   	Program started                         	2018-03-18 10:02:36 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
534476    	I   	Operational         	10151   	Program started                         	2018-03-18 10:02:36 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "5", "RECEIVER"}
534477    	I   	User                	80003   	T_MASTER Speed Limit Off, done          	2018-03-18 10:02:36 	rLogMsg	{args: "T_MASTER Speed Limit Off, done", "rLogMsg"}
534478    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:02:36 	Task: T_ROB11.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_11/rInitSpeed/WaitSyncTask/140.	{args: "T_ROB11", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_11/rInitSpeed/WaitSyncTask/140"}
534479    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:02:36 	Task: T_ROB12.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_12/rInitSpeed/WaitSyncTask/136.	{args: "T_ROB12", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_12/rInitSpeed/WaitSyncTask/136"}
534480    	I   	User                	80003   	T_MASTER Speed Limit On, done           	2018-03-18 10:02:37 	rLogMsg	{args: "T_MASTER Speed Limit On, done", "rLogMsg"}
534481    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:02:37 	Task: T_MASTER.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_Ma/rInitSpeed/WaitSyncTask/148.	{args: "T_MASTER", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_Ma/rInitSpeed/WaitSyncTask/148"}
534482    	I   	User                	80003   	T_MASTER E001 Saw Saw Off, done         	2018-03-18 10:02:37 	rLogMsg	{args: "T_MASTER E001 Saw Saw Off, done", "rLogMsg"}
534483    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:02:38 	Task: T_MASTER.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_Ma/rInitTask/WaitSyncTask/77.	{args: "T_MASTER", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_Ma/rInitTask/WaitSyncTask/77"}
534484    	I   	User                	80003   	T_ROB11 TC11 Tool 2 Connect alias signals done	2018-03-18 10:02:38 	rLogMsg	{args: "T_ROB11 TC11 Tool 2 Connect alias signals done", "rLogMsg"}
534485    	I   	User                	80003   	T_ROB12 Tc12 Tool 3 Connect alias signals done	2018-03-18 10:02:38 	rLogMsg	{args: "T_ROB12 Tc12 Tool 3 Connect alias signals done", "rLogMsg"}
534486    	I   	User                	80003   	T_ROB11 TC11 Lock tool done             	2018-03-18 10:02:39 	rLogMsg	{args: "T_ROB11 TC11 Lock tool done", "rLogMsg"}
534487    	I   	User                	80003   	T_ROB12 Tc12 Lock tool done             	2018-03-18 10:02:39 	rLogMsg	{args: "T_ROB12 Tc12 Lock tool done", "rLogMsg"}
534488    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:02:39 	Task: T_ROB11.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_11/rInitTask/WaitSyncTask/79.	{args: "T_ROB11", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_11/rInitTask/WaitSyncTask/79"}
534489    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:02:39 	Task: T_ROB12.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_12/rInitTask/WaitSyncTask/79.	{args: "T_ROB12", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_12/rInitTask/WaitSyncTask/79"}
534490    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:04:28 	The task T_MASTER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "T_MASTER"}
534491    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:04:28 	The task SENDER has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "SENDER"}
534492    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:04:28 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "5", "RECEIVER"}
534493    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:04:28 	The task T_ROB11 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB11"}
534494    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:04:28 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
534495    	I   	Operational         	10012   	Safety guard stop state                 	2018-03-18 10:04:36 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
534496    	E   	System              	20205   	Auto Stop open                          	2018-03-18 10:04:36 	The Automatic Mode Safeguarded Stop circuit has been broken.	{args: }
534497    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534498    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534499    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534500    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534501    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534502    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534503    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:29 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534504    	W   	System              	20140   	Motors On rejected                      	2018-03-18 10:09:30 	Motors On, via System IO, was rejected.	{args: "-2"}
534505    	I   	Operational         	10010   	Motors OFF state                        	2018-03-18 10:09:34 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
534506    	I   	Operational         	10011   	Motors ON state                         	2018-03-18 10:09:37 	The system is in the Motors ON state.	{args: }
534507    	I   	Operational         	10152   	Program started                         	2018-03-18 10:09:40 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
534508    	I   	Operational         	10152   	Program started                         	2018-03-18 10:09:40 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "5", "RECEIVER"}
534509    	I   	Operational         	10133   	Program stopped                         	2018-03-18 10:09:40 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
534510    	I   	Operational         	10133   	Program stopped                         	2018-03-18 10:09:40 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "5", "RECEIVER"}
534511    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534512    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534513    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534514    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534515    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534516    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534517    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-18 10:09:40 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534518    	W   	Operational         	10095   	At least one task is unchecked in the task selection panel	2018-03-18 10:09:41 	One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start.	{args: }
534519    	I   	Operational         	10052   	Regain start                            	2018-03-18 10:09:41 	A regain movement has started.	{args: "0"}
534520    	I   	Operational         	10053   	Regain ready                            	2018-03-18 10:09:41 	The regain movement is ready.	{args: "0"}
534521    	I   	Operational         	10151   	Program started                         	2018-03-18 10:09:41 	Execution of task T_ROB11 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB11"}
534522    	I   	Operational         	10151   	Program started                         	2018-03-18 10:09:41 	Execution of task T_ROB12 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB12"}
534523    	I   	Operational         	10151   	Program started                         	2018-03-18 10:09:41 	Execution of task T_MASTER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "T_MASTER"}
534524    	I   	Operational         	10151   	Program started                         	2018-03-18 10:09:41 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
534525    	I   	Operational         	10151   	Program started                         	2018-03-18 10:09:41 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "5", "RECEIVER"}
534526    	I   	User                	80003   	T_MASTER Speed Limit Off, done          	2018-03-18 10:09:42 	rLogMsg	{args: "T_MASTER Speed Limit Off, done", "rLogMsg"}
534527    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:09:42 	Task: T_ROB11.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_11/rInitSpeed/WaitSyncTask/140.	{args: "T_ROB11", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_11/rInitSpeed/WaitSyncTask/140"}
534528    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:09:42 	Task: T_ROB12.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_12/rInitSpeed/WaitSyncTask/136.	{args: "T_ROB12", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_12/rInitSpeed/WaitSyncTask/136"}
534529    	I   	User                	80003   	T_MASTER Speed Limit On, done           	2018-03-18 10:09:42 	rLogMsg	{args: "T_MASTER Speed Limit On, done", "rLogMsg"}
534530    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:09:42 	Task: T_MASTER.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_Ma/rInitSpeed/WaitSyncTask/148.	{args: "T_MASTER", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_Ma/rInitSpeed/WaitSyncTask/148"}
534531    	I   	User                	80003   	T_MASTER E001 Saw Saw Off, done         	2018-03-18 10:09:42 	rLogMsg	{args: "T_MASTER E001 Saw Saw Off, done", "rLogMsg"}
534532    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:09:43 	Task: T_MASTER.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_Ma/rInitTask/WaitSyncTask/77.	{args: "T_MASTER", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_Ma/rInitTask/WaitSyncTask/77"}
534533    	I   	User                	80003   	T_ROB11 TC11 Tool 2 Connect alias signals done	2018-03-18 10:09:43 	rLogMsg	{args: "T_ROB11 TC11 Tool 2 Connect alias signals done", "rLogMsg"}
534534    	I   	User                	80003   	T_ROB12 Tc12 Tool 3 Connect alias signals done	2018-03-18 10:09:43 	rLogMsg	{args: "T_ROB12 Tc12 Tool 3 Connect alias signals done", "rLogMsg"}
534535    	I   	User                	80003   	T_ROB11 TC11 Lock tool done             	2018-03-18 10:09:44 	rLogMsg	{args: "T_ROB11 TC11 Lock tool done", "rLogMsg"}
534536    	I   	User                	80003   	T_ROB12 Tc12 Lock tool done             	2018-03-18 10:09:44 	rLogMsg	{args: "T_ROB12 Tc12 Lock tool done", "rLogMsg"}
534537    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:09:44 	Task: T_ROB11.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_11/rInitTask/WaitSyncTask/79.	{args: "T_ROB11", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_11/rInitTask/WaitSyncTask/79"}
534538    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-18 10:09:44 	Task: T_ROB12.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_12/rInitTask/WaitSyncTask/79.	{args: "T_ROB12", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_12/rInitTask/WaitSyncTask/79"}
534539    	W   	Program             	40706   	Load Error                              	2018-03-18 10:09:54 	Task: T_ROB11.The program module is already loaded. Program ref: /A019_Motion_11/r_A019_InitCellPro/iGPSConnect/74.	{args: "T_ROB11", "/A019_Motion_11/r_A019_InitCellPro/iGPSConnect/74", "Home:/iGPS/iGPS_OfflineData_Robot11.sys", "ERR_LOADED"}
534540    	W   	Program             	40706   	Load Error                              	2018-03-18 10:09:54 	Task: T_ROB12.The program module is already loaded. Program ref: /A019_Motion_12/r_A019_InitCellPro/iGPSConnect/74.	{args: "T_ROB12", "/A019_Motion_12/r_A019_InitCellPro/iGPSConnect/74", "Home:/iGPS/iGPS_OfflineData_Robot12.sys", "ERR_LOADED"}
534541    	I   	User                	80003   	T_ROB11 R11_A000 Sync R11 and R12 done  	2018-03-18 10:10:19 	rLogMsg	{args: "T_ROB11 R11_A000 Sync R11 and R12 done", "rLogMsg"}
534542    	I   	User                	80003   	T_ROB12 R12_A000 Sync R11 and R12 done  	2018-03-18 10:10:19 	rLogMsg	{args: "T_ROB12 R12_A000 Sync R11 and R12 done", "rLogMsg"}
534543    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:10:50 	The task T_MASTER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "T_MASTER"}
534544    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:10:50 	The task SENDER has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "SENDER"}
534545    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:10:50 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "5", "RECEIVER"}
534546    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:10:50 	The task T_ROB11 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB11"}
534547    	I   	Operational         	10125   	Program stopped                         	2018-03-18 10:10:51 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
